Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
260,95749,19,6,83.1,18.0,uniform,26,47,15.24,15.24,15.24,603.12,26.89,100.0,17.15,17.15,17.15,687.61,21.74,100.0,19.8,19.8,19.8,799.19,0.09,100.0,11.16,11.16,QPSO,23.02,23.02,QPSO
261,62000,14,5,90.3,18.0,uniform,45,58,13.74,13.74,13.74,554.05,29.96,100.0,14.56,14.56,14.56,608.08,21.5,100.0,16.97,16.97,16.97,735.05,0.01,100.0,5.64,5.64,QPSO,19.05,19.05,QPSO
262,49174,19,6,81.0,13.0,uniform,39,78,16.94,16.94,16.94,663.42,55.84,100.0,19.5,19.5,19.5,806.63,23.9,100.0,22.21,22.21,22.21,861.68,0.01,100.0,13.11,13.11,QPSO,23.7,23.7,QPSO
263,49971,16,4,107.9,8.5,incident,44,45,12.58,12.58,12.58,505.63,53.11,100.0,14.78,14.78,14.78,619.31,58.51,100.0,15.44,15.44,15.44,592.14,0.01,100.0,14.88,14.88,QPSO,18.52,18.52,QPSO
264,69879,17,6,73.9,8.0,incident,41,52,18.23,18.23,18.23,781.2,54.29,100.0,17.63,17.63,17.63,743.17,46.96,100.0,18.66,18.66,18.66,821.52,0.01,100.0,-3.45,-3.45,Classical PSO,2.26,2.26,QPSO
265,76065,18,6,78.2,8.0,incident,31,77,15.11,15.11,15.11,690.07,114.22,100.0,15.11,15.11,15.11,687.57,94.97,100.0,20.04,20.04,20.04,867.05,0.01,100.0,0.01,0.01,QPSO,24.61,24.61,QPSO
266,65071,11,4,110.4,8.5,incident,38,69,9.88,9.88,9.88,362.35,77.81,100.0,10.42,10.42,10.42,377.67,66.15,100.0,10.7,10.7,10.7,390.86,0.0,100.0,5.18,5.18,QPSO,7.73,7.73,QPSO
267,74912,10,4,103.6,18.0,uniform,37,56,7.59,7.59,7.59,273.98,67.86,100.0,8.49,8.49,8.49,320.31,46.08,100.0,10.35,10.35,10.35,395.99,0.0,100.0,10.59,10.59,QPSO,26.67,26.67,QPSO
268,1395,13,5,72.3,18.0,uniform,42,43,14.23,14.23,14.23,538.17,47.05,100.0,13.95,13.95,13.95,576.68,38.62,100.0,20.34,20.34,20.34,732.59,0.01,100.0,-1.97,-1.97,Classical PSO,30.04,30.04,QPSO
269,10046,17,6,84.4,8.5,incident,45,66,16.62,16.62,16.62,638.75,84.75,100.0,16.74,16.74,16.74,675.11,75.15,100.0,20.34,20.34,20.34,797.86,0.01,100.0,0.71,0.71,QPSO,18.26,18.26,QPSO
270,50081,16,5,113.5,13.0,uniform,42,48,12.02,12.02,12.02,449.21,49.5,100.0,11.27,11.27,11.27,399.56,41.94,100.0,12.52,12.52,12.52,473.64,0.01,100.0,-6.65,-6.65,Classical PSO,3.97,3.97,QPSO
271,86660,15,5,78.9,17.5,uniform,32,40,12.05,12.05,12.05,523.55,44.45,100.0,12.38,12.38,12.38,544.27,31.95,100.0,15.57,15.57,15.57,648.26,0.01,100.0,2.72,2.72,QPSO,22.61,22.61,QPSO
272,3979,14,5,103.7,17.5,rush_hour,32,55,10.0,10.0,10.0,403.15,63.6,100.0,10.48,10.48,10.48,427.69,50.65,100.0,12.41,12.41,12.41,521.03,0.05,100.0,4.57,4.57,QPSO,19.42,19.42,QPSO
273,61375,15,5,83.8,8.0,incident,38,79,13.86,13.86,13.86,527.6,92.17,100.0,13.86,13.86,13.86,527.6,66.64,100.0,17.37,17.37,17.37,662.4,0.07,100.0,0.0,0.0,Tie,20.21,20.21,QPSO
274,3050,13,5,73.4,13.0,incident,26,55,11.58,11.58,11.58,494.62,49.63,100.0,11.11,11.11,11.11,408.54,50.63,100.0,17.98,17.98,17.98,752.26,0.01,100.0,-4.27,-4.27,Classical PSO,35.58,35.58,QPSO
275,98064,10,5,91.9,8.5,uniform,29,72,9.54,9.54,9.54,400.42,76.46,100.0,9.54,9.54,9.54,400.42,88.58,100.0,10.71,10.71,10.71,450.27,0.01,100.0,-0.0,0.0,Tie,11.0,11.0,QPSO
276,38914,13,5,98.9,8.5,rush_hour,29,73,19.99,19.99,19.99,433.27,73.0,100.0,17.99,17.99,17.99,383.74,60.41,100.0,21.34,21.34,21.34,527.04,0.0,100.0,-11.15,-11.15,Classical PSO,6.31,6.31,QPSO
277,29972,16,5,83.8,18.0,incident,38,75,13.83,13.83,13.83,593.21,89.29,100.0,16.54,16.54,16.54,689.86,74.19,100.0,18.25,18.25,18.25,756.6,0.02,100.0,16.36,16.36,QPSO,24.19,24.19,QPSO
278,65962,10,5,117.1,13.0,incident,35,66,10.11,10.11,10.11,360.11,65.47,100.0,10.23,10.23,10.23,355.12,59.87,100.0,14.23,14.23,14.23,489.13,0.01,100.0,1.17,1.17,QPSO,28.93,28.93,QPSO
279,54511,12,5,88.8,8.5,uniform,34,49,11.78,11.78,11.78,432.64,46.57,100.0,11.11,11.11,11.11,401.42,36.34,100.0,14.99,14.99,14.99,538.04,0.03,100.0,-6.09,-6.09,Classical PSO,21.41,21.41,QPSO
280,61689,10,5,118.4,17.5,uniform,37,55,9.87,9.87,9.87,362.88,59.22,100.0,9.87,9.87,9.87,362.88,43.46,100.0,13.6,13.6,13.6,514.41,0.0,100.0,0.0,0.0,Tie,27.38,27.38,QPSO
281,34422,13,5,102.3,9.0,uniform,42,52,11.37,11.37,11.37,408.58,21.61,100.0,11.18,11.18,11.18,485.79,15.93,100.0,13.75,13.75,13.75,529.83,0.01,100.0,-1.67,-1.67,Classical PSO,17.3,17.3,QPSO
282,7755,14,4,103.7,8.0,uniform,43,75,10.74,10.74,10.74,487.44,49.81,100.0,12.25,12.25,12.25,493.54,26.14,100.0,15.25,15.25,15.25,640.59,0.01,100.0,12.35,12.35,QPSO,29.58,29.58,QPSO
283,29444,17,5,113.5,9.0,uniform,31,52,15.41,15.41,15.41,680.49,60.47,100.0,14.68,14.68,14.68,639.57,56.28,100.0,22.42,22.42,22.42,972.87,0.01,100.0,-5.03,-5.03,Classical PSO,31.26,31.26,QPSO
284,98186,11,5,115.7,17.5,incident,31,65,9.19,9.19,9.19,315.39,64.23,100.0,8.58,8.58,8.58,335.24,56.79,100.0,11.59,11.59,11.59,453.53,0.0,100.0,-7.11,-7.11,Classical PSO,20.66,20.66,QPSO
285,32369,18,5,108.8,13.0,incident,45,62,11.96,11.96,11.96,481.51,87.75,100.0,13.92,13.92,13.92,571.65,79.75,100.0,14.43,14.43,14.43,534.2,0.01,100.0,14.11,14.11,QPSO,17.12,17.12,QPSO
286,41425,14,5,95.6,13.0,uniform,40,60,11.21,11.21,11.21,519.63,76.03,100.0,11.06,11.06,11.06,494.29,55.84,100.0,14.31,14.31,14.31,653.45,0.01,100.0,-1.41,-1.41,Classical PSO,21.61,21.61,QPSO
287,27624,15,5,90.7,18.0,uniform,25,56,17.17,17.17,17.17,686.58,82.81,100.0,17.74,17.74,17.74,702.88,46.78,100.0,20.19,20.19,20.19,794.07,0.02,100.0,3.2,3.2,QPSO,14.96,14.96,QPSO
