Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
51,80457,16,5,93.1,9.0,uniform,33,25,18.42,18.42,16.42,673.06,9.29,100.0,19.68,19.68,17.68,760.82,6.48,100.0,23.76,23.76,21.76,857.82,0.01,100.0,6.37,7.09,QPSO,22.47,24.53,QPSO
52,69146,16,5,91.9,18.0,rush_hour,30,46,16.19,16.19,14.19,638.66,14.95,100.0,15.92,15.92,13.42,622.6,10.29,100.0,16.21,16.21,14.21,650.55,0.01,100.0,-1.69,-5.73,Classical PSO,0.13,0.15,QPSO
53,17334,12,5,110.0,13.0,incident,29,42,10.58,10.58,9.08,398.72,12.67,100.0,10.46,10.46,8.96,398.25,10.41,100.0,12.32,12.32,10.82,464.1,0.01,100.0,-1.17,-1.37,Classical PSO,14.1,16.05,QPSO
54,17683,11,6,109.9,18.0,incident,25,44,10.53,10.53,9.03,344.24,12.05,100.0,11.09,11.09,9.59,400.4,9.01,100.0,14.86,14.86,13.36,523.44,0.0,100.0,5.07,5.86,QPSO,29.15,32.42,QPSO
55,75593,12,3,102.9,9.0,rush_hour,26,38,11.12,11.12,9.62,321.48,9.01,100.0,13.07,13.07,11.57,395.77,8.89,100.0,17.05,17.05,15.55,519.52,0.01,100.0,14.9,16.84,QPSO,34.81,38.17,QPSO
56,77019,17,6,97.9,18.0,uniform,35,50,15.6,15.6,13.6,514.14,22.8,100.0,17.46,17.46,15.46,646.46,13.59,100.0,18.37,18.37,16.37,686.99,0.01,100.0,10.65,12.03,QPSO,15.1,16.94,QPSO
57,97463,10,5,87.0,8.0,uniform,29,32,9.96,9.96,8.46,295.88,9.92,100.0,9.96,9.96,8.46,295.88,8.96,100.0,12.24,12.24,10.74,384.06,0.01,100.0,0.0,0.0,Tie,18.6,21.2,QPSO
58,27100,10,5,72.8,17.5,uniform,34,38,11.59,11.59,10.09,397.72,12.27,100.0,11.41,11.41,9.91,367.33,10.16,100.0,13.89,13.89,12.39,463.95,0.01,100.0,-1.63,-1.88,Classical PSO,16.57,18.58,QPSO
59,83544,17,5,113.1,13.0,rush_hour,27,29,13.28,13.28,11.28,445.85,12.47,100.0,14.17,14.17,12.17,478.93,7.68,100.0,18.19,18.19,16.19,631.99,0.0,100.0,6.29,7.33,QPSO,27.03,30.37,QPSO
60,86990,8,3,116.7,8.5,incident,34,26,10.38,10.38,9.38,369.01,6.81,100.0,10.38,10.38,9.38,369.01,6.53,100.0,10.81,10.81,9.81,416.13,0.0,100.0,0.0,0.0,Tie,4.02,4.43,QPSO
